iter	RMSE
0	2.501869586
1	2.253703347
2	2.057953937
3	1.895349504
4	1.753599255
5	1.591403837
6	1.456099143
7	1.366152651
8	1.286096143
9	1.218464985
10	1.146651294
11	1.098871767
12	1.059333548
13	1.025932972
14	0.9981389118
15	0.980312017
16	0.9599198603
17	0.9465829979
18	0.935628688
19	0.9212888096
20	0.9108656312
21	0.8938011392
22	0.87879493
23	0.8684527353
24	0.8476212201
25	0.8366114352
26	0.828256723
27	0.825096518
28	0.8026553918
29	0.7892201797
30	0.7772402486
31	0.7636028786
32	0.7559844344
33	0.7464708354
34	0.7425472152
35	0.7381076384
36	0.7346300459
37	0.7289408972
38	0.7214146968
39	0.7150693687
40	0.7124882251
41	0.6979012599
42	0.6864286707
43	0.6741806394
44	0.6698229127
45	0.6657007162
46	0.6641612171
47	0.6521733429
48	0.6427211004
49	0.6324314343
50	0.6311843778
51	0.6305747517
52	0.6210368737
53	0.6152864797
54	0.6118557106
55	0.6068323569
56	0.6051315371
57	0.6012048619
58	0.5994025005
59	0.5945198032
60	0.5882788774
61	0.5815370028
62	0.5801419642
63	0.5772605397
64	0.5761096539
65	0.5749804153
66	0.5685959097
67	0.5669484969
68	0.5607228011
69	0.5586752679
70	0.5569974389
71	0.5516600089
72	0.5474327901
73	0.545709521
74	0.5435342759
75	0.5420203458
76	0.5390175806
77	0.53436282
78	0.5327636166
79	0.5269477647
80	0.5226245168
81	0.5212838017
82	0.5187362638
83	0.5166683812
84	0.5126689314
85	0.5114799653
86	0.5088351863
87	0.508042388
88	0.5051141917
89	0.4974663393
90	0.493175751
91	0.4916371551
92	0.4897987028
93	0.4849256984
94	0.4803022823
95	0.4788132258
96	0.474936448
97	0.4728173169
98	0.4694650493
99	0.4681926155
100	0.4646801766
101	0.4633743781
102	0.4621175501
103	0.4590000769
104	0.4556784244
105	0.45323092
106	0.4526693035
107	0.4467210573
108	0.4439366398
109	0.4382359126
110	0.436892784
111	0.4362318923
112	0.4342269693
113	0.4321471751
114	0.4317478471
115	0.4275113838
116	0.4250668752
117	0.4218444397
118	0.4196866671
119	0.418363525
120	0.4165509056
121	0.4150032668
122	0.4126542925
123	0.4110710645
124	0.4094443756
125	0.4080229717
126	0.4068519912
127	0.4064407085
128	0.4032639734
129	0.4016815913
130	0.3983257225
131	0.397200535
132	0.3951675781
133	0.3944843328
134	0.3932539168
135	0.3914133945
136	0.3909702997
137	0.3876514145
138	0.3846907877
139	0.3825291468
140	0.3789131415
141	0.3773247579
142	0.3750298526
143	0.3743279491
144	0.3707092865
145	0.3676514666
146	0.3660204898
147	0.3638774624
148	0.3629807665
149	0.361468512
150	0.3602904977
151	0.3597641677
152	0.3581078294
153	0.3569667819
154	0.3564349408
155	0.3522054183
156	0.3511949262
157	0.3483678405
158	0.346250208
159	0.3447325206
160	0.3441143445
161	0.3428280811
162	0.3389762194
163	0.3376602759
164	0.3356595107
