iter	Passed	Remaining
0	178	106644
1	215	64297
2	254	50565
3	290	43301
4	309	36780
5	345	34241
6	386	32779
7	434	32117
8	472	31017
9	531	31374
10	572	30634
11	615	30175
12	659	29785
13	692	28983
14	738	28788
15	778	28423
16	817	28030
17	857	27714
18	896	27404
19	940	27281
20	1000	27595
21	1049	27569
22	1092	27415
23	1133	27193
24	1165	26796
25	1202	26546
26	1236	26250
27	1257	25697
28	1298	25576
29	1375	26138
30	1435	26351
31	1492	26493
32	1548	26602
33	1593	26528
34	1639	26469
35	1682	26366
36	1728	26299
37	1763	26074
38	1802	25934
39	1847	25867
40	1887	25728
41	1925	25580
42	1965	25460
43	2009	25393
44	2054	25337
45	2096	25253
46	2139	25174
47	2183	25110
48	2227	25050
49	2269	24964
50	2311	24882
51	2352	24793
52	2393	24700
53	2430	24578
54	2471	24487
55	2511	24400
56	2550	24298
57	2589	24196
58	2627	24097
59	2670	24031
60	2724	24073
61	2769	24029
62	2806	23918
63	2850	23868
64	2886	23757
65	2924	23663
66	2961	23558
67	2999	23464
68	3035	23357
69	3074	23275
70	3112	23188
71	3149	23094
72	3185	22995
73	3244	23059
74	3290	23032
75	3333	22980
76	3373	22912
77	3414	22849
78	3453	22772
79	3486	22660
80	3531	22629
81	3577	22597
82	3616	22524
83	3666	22524
84	3714	22505
85	3752	22425
86	3789	22342
87	3826	22265
88	3864	22188
89	3903	22118
90	3939	22035
91	3976	21958
92	4014	21887
93	4051	21808
94	4086	21725
95	4123	21650
96	4161	21578
97	4198	21507
98	4235	21435
99	4272	21362
100	4303	21261
101	4342	21201
102	4379	21130
103	4416	21064
104	4455	21002
105	4492	20936
106	4523	20842
107	4554	20748
108	4591	20682
109	4627	20613
110	4666	20557
111	4702	20490
112	4741	20435
113	4778	20370
114	4815	20308
115	4851	20241
116	4888	20182
117	4960	20260
118	5004	20228
119	5066	20267
120	5127	20299
121	5178	20291
122	5224	20262
123	5271	20236
124	5324	20234
125	5367	20192
126	5407	20140
127	5438	20055
128	5479	20005
129	5517	19947
130	5555	19891
131	5599	19851
132	5638	19797
133	5675	19737
134	5712	19676
135	5749	19614
136	5785	19552
137	5822	19493
138	5860	19435
139	5896	19373
140	5932	19312
141	5970	19256
142	6008	19203
143	6045	19144
144	6084	19093
145	6120	19031
146	6156	18970
147	6193	18915
148	6229	18856
149	6265	18797
150	6304	18747
151	6343	18697
152	6381	18643
153	6413	18574
154	6450	18519
155	6486	18460
156	6517	18391
157	6557	18344
158	6596	18295
159	6636	18249
160	6667	18179
161	6703	18124
162	6740	18069
163	6776	18014
164	6824	17992
